1	42.33	3.64	13.16 	1.18 	19.4	1.51
2	132.12	17	12.25	1.66	22.56	2.2
4	205.38	52.8	7.35	1.31	5.55	0.9
8	256.51	84.53	5.73	1.16	1.37	0.33
16	343.56	262.96	7.62	3.07	0.47	0.27
32	341.15	345.87	9	4.53	0.13	0.1
